Grid_Number,Del_popu_Government_Facilities
1121,2679.0
1122,2929.0
1123,-1.0
1124,-1.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,5835.0
1129,8139.0
1130,9056.0
1131,5601.0
1132,6594.0
1133,3194.0
1134,1670.0
1135,2906.0
1136,2891.0
1137,807.0
1138,2847.0
1139,3160.0
1140,13831.0
1141,6012.0
1142,15635.0
1143,1354.0
1144,3562.0
1145,5967.0
1146,14668.0
1147,7063.0
1148,3522.0
1149,1673.0
1150,7364.0
1151,8421.0
1152,12563.0
1153,8547.0
1154,2087.0
1155,3210.0
1156,6586.0
1157,6294.0
1158,7386.0
1159,7876.0
1160,8311.0
1161,900.0
1162,900.0
1163,14115.0
1164,14115.0
1165,47568.0
1166,38480.0
1167,7243.0
1168,1070.0
1169,2679.0
1170,2929.0
1171,2929.0
1172,5355.0
1173,8323.0
1174,-1.0
1175,-1.0
1176,-1.0
1177,-1.0
1178,5453.0
1179,5017.0
1180,2660.0
1181,3615.0
1182,2460.0
1183,593.0
1184,4138.0
1185,2765.0
1186,1309.0
1187,658.0
1188,7046.0
1189,9274.0
1190,15635.0
1191,15635.0
1192,13750.0
1193,4619.0
1194,3306.0
1195,2943.0
1196,6918.0
1197,4843.0
1198,4041.0
1199,4966.0
1200,5369.0
1201,11554.0
1202,8698.0
1203,9014.0
1204,7863.0
1205,9600.0
1206,4268.0
1207,4330.0
1208,1740.0
1209,8311.0
1210,8856.0
1211,12776.0
1212,12776.0
1213,14115.0
1214,22669.0
1215,22669.0
1216,14689.0
1217,7243.0
1218,2679.0
1219,9481.0
1220,2929.0
1221,8323.0
1222,9564.0
1223,-1.0
1224,-1.0
1225,-1.0
1226,4132.0
1227,1202.0
1228,5340.0
1229,3363.0
1230,4715.0
1231,2442.0
1232,2565.0
1233,2595.0
1234,2711.0
1235,3626.0
1236,2924.0
1237,4037.0
1238,5895.0
1239,11534.0
1240,27507.0
1241,11646.0
1242,11646.0
1243,5764.0
1244,3683.0
1245,3793.0
1246,2403.0
1247,3775.0
1248,2297.0
1249,6125.0
1250,9021.0
1251,3124.0
1252,7274.0
1253,14437.0
1254,2639.0
1255,5061.0
1256,4637.0
1257,3044.0
1258,3636.0
1259,8856.0
1260,12776.0
1261,12776.0
1262,14280.0
1263,5485.0
1264,5485.0
1265,4664.0
1266,4664.0
1267,6229.0
1268,9481.0
1269,8552.0
1270,2979.0
1271,9564.0
1272,-1.0
1273,-1.0
1274,-1.0
1275,4825.0
1276,5015.0
1277,1238.0
1278,2923.0
1279,2731.0
1280,1353.0
1281,3471.0
1282,4502.0
1283,601.0
1284,5286.0
1285,4400.0
1286,17083.0
1287,17083.0
1288,11534.0
1289,43035.0
1290,27507.0
1291,11646.0
1292,6260.0
1293,4192.0
1294,1116.0
1295,3830.0
1296,8598.0
1297,1173.0
1298,2089.0
1299,13103.0
1300,13310.0
1301,4987.0
1302,9492.0
1303,3984.0
1304,2246.0
1305,2521.0
1306,8973.0
1307,6748.0
1308,2293.0
1309,9958.0
1310,7686.0
1311,14280.0
1312,14280.0
1313,5485.0
1314,9561.0
1315,4686.0
1316,6229.0
1317,11743.0
1318,11486.0
1319,3732.0
1320,11222.0
1321,11222.0
1322,-1.0
1323,-1.0
1324,6715.0
1325,6715.0
1326,672.0
1327,2666.0
1328,2299.0
1329,2943.0
1330,5548.0
1331,6215.0
1332,4086.0
1333,4086.0
1334,13692.0
1335,21814.0
1336,17083.0
1337,43035.0
1338,43035.0
1339,43035.0
1340,21279.0
1341,24102.0
1342,5462.0
1343,3068.0
1344,6643.0
1345,8198.0
1346,5215.0
1347,5091.0
1348,9067.0
1349,11904.0
1350,8460.0
1351,4395.0
1352,2993.0
1353,1939.0
1354,3594.0
1355,3758.0
1356,4713.0
1357,5320.0
1358,9958.0
1359,13259.0
1360,7686.0
1361,14280.0
1362,9561.0
1363,4422.0
1364,4422.0
1365,42118.0
1366,42118.0
1367,6613.0
1368,1513.0
1369,11222.0
1370,5333.0
1371,-1.0
1372,-1.0
1373,-1.0
1374,7203.0
1375,2596.0
1376,3090.0
1377,3090.0
1378,9619.0
1379,656.0
1380,7106.0
1381,5490.0
1382,4027.0
1383,13692.0
1384,4778.0
1385,10138.0
1386,6405.0
1387,5220.0
1388,15579.0
1389,21279.0
1390,9000.0
1391,6789.0
1392,8019.0
1393,10571.0
1394,3952.0
1395,4774.0
1396,1585.0
1397,4360.0
1398,3186.0
1399,5727.0
1400,7916.0
1401,1865.0
1402,2558.0
1403,2785.0
1404,7231.0
1405,1478.0
1406,13040.0
1407,4170.0
1408,13259.0
1409,13259.0
1410,13259.0
1411,19430.0
1412,4422.0
1413,4422.0
1414,26425.0
1415,26425.0
